active_proc,uptime,cpu_percent,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_count_logical,cpu_count_physical,mem_available,mem_used,mem_percent,disk_total,disk_used,disk_free,disk_percent,swap_mem_used,swap_mem_free,swap_mem_percent,failure_warning
567,112793.71,99.2,96290,753432,231800660,1399046,8,4,6124920832,8951148544,64.3,500068036608,15324188672,9401647104,62.0,4324851712,1043857408,80.6,1
567,112795.72,34.5,130503,740566,231803962,1386439,8,4,6213394432,8861319168,63.8,500068036608,15324188672,9281114112,62.3,4324851712,1043857408,80.6,0
565,112797.73,11.0,209309,705403,231809374,1351292,8,4,6392221696,8679059456,62.8,500068036608,15324188672,9400426496,62.0,4324851712,1043857408,80.6,0
565,112799.75,5.7,207771,710016,231812622,1351189,8,4,6385500160,8683995136,62.8,500068036608,15324188672,9400201216,62.0,4324851712,1043857408,80.6,0
565,112801.76,6.1,207939,705429,231813980,1351030,8,4,6385537024,8685105152,62.8,500068036608,15324188672,9400184832,62.0,4324851712,1043857408,80.6,0
568,112803.77,13.6,210427,712434,231825208,1337376,8,4,6339907584,8729092096,63.1,500068036608,15324188672,9399930880,62.0,4324851712,1043857408,80.6,0
573,112805.78,24.1,185927,716447,231846557,1341645,8,4,6256934912,8799928320,63.6,500068036608,15324188672,9399439360,62.0,4324851712,1043857408,80.6,0
574,112807.79,21.4,185613,716962,231854175,1336191,8,4,6233309184,8811864064,63.7,500068036608,15324188672,9403109376,62.0,4324851712,1043857408,80.6,0
574,112809.81,10.4,184830,718652,231860589,1335834,8,4,6228639744,8816238592,63.7,500068036608,15324188672,9403109376,62.0,4324851712,1043857408,80.6,0
579,112811.83,20.6,145927,722504,231879320,1335927,8,4,6069661696,8969748480,64.7,500068036608,15324188672,9403383808,62.0,4324851712,1043857408,80.6,0
583,112813.84,50.7,66422,723987,231988220,1409474,8,4,6045270016,8993697792,64.8,500068036608,15324188672,9447219200,61.9,4324851712,1043857408,80.6,0
585,112815.86,51.3,55255,730276,232069549,1416619,8,4,6028795904,9006231552,64.9,500068036608,15324188672,9421770752,61.9,4324851712,1043857408,80.6,0
586,112817.87,24.9,46818,731410,232113714,1426577,8,4,6034501632,8984821760,64.9,500068036608,15324188672,9421000704,61.9,4291297280,1077411840,79.9,0
584,112819.89,34.7,91035,733447,232124541,1377806,8,4,6016372736,9006952448,65.0,500068036608,15324188672,9514872832,61.7,4291297280,1077411840,79.9,0
586,112821.91,44.0,83832,734403,232169076,1383840,8,4,6011584512,9007874048,65.0,500068036608,15324188672,9515515904,61.7,4291297280,1077411840,79.9,0
588,112823.96,47.5,44574,738333,232221660,1419820,8,4,5998157824,9009229824,65.1,500068036608,15324188672,9514659840,61.7,4291297280,1077411840,79.9,0
591,112825.97,21.1,29385,742713,232245091,1432339,8,4,5987221504,9018912768,65.1,500068036608,15324188672,9513787392,61.7,4257742848,1110966272,79.3,0
591,112827.98,33.2,17367,741455,232264895,1445055,8,4,5990080512,9012285440,65.1,500068036608,15324188672,9513152512,61.7,4257742848,1110966272,79.3,0
592,112829.99,30.7,15833,741433,232298887,1438674,8,4,5957660672,8981221376,65.3,500068036608,15324188672,9511612416,61.7,4257742848,1110966272,79.3,0
592,112832.01,11.0,18748,735903,232300139,1439953,8,4,5974839296,8964497408,65.2,500068036608,15324188672,9514491904,61.7,4257742848,1110966272,79.3,0
591,112834.02,8.5,21629,732440,232301587,1440695,8,4,5989679104,8950497280,65.1,500068036608,15324188672,9513934848,61.7,4257742848,1110966272,79.3,0
592,112836.03,8.7,20149,726559,232303968,1443356,8,4,5994500096,8944861184,65.1,500068036608,15324188672,9513693184,61.7,4257742848,1110966272,79.3,0
590,112838.05,80.0,17562,737230,232385321,1432778,8,4,5940592640,8948187136,65.4,500068036608,15324188672,9513271296,61.7,4257742848,1110966272,79.3,1
595,112840.07,64.4,24097,741496,232467262,1411180,8,4,5878894592,8903639040,65.8,500068036608,15324188672,9512669184,61.7,4257742848,1110966272,79.3,1
597,112842.10,88.9,20937,742867,232567408,1407850,8,4,5852311552,8885571584,65.9,500068036608,15324188672,9511124992,61.7,4257742848,1110966272,79.3,1
598,112844.13,72.3,18213,745760,232648622,1408085,8,4,5842116608,8876503040,66.0,500068036608,15324188672,9508855808,61.7,4257742848,1110966272,79.3,1
598,112846.15,89.4,20486,745006,232700160,1403981,8,4,5834637312,8870338560,66.0,500068036608,15324188672,9507999744,61.7,4257742848,1110966272,79.3,1
598,112848.17,61.1,19901,746222,232730665,1401392,8,4,5821616128,8843194368,66.1,500068036608,15324188672,9506607104,61.7,4257742848,1110966272,79.3,1
595,112850.19,52.7,34156,742515,232759113,1383456,8,4,5806538752,8824246272,66.2,500068036608,15324188672,9497755648,61.7,4257742848,1110966272,79.3,0
598,112852.25,66.8,13760,743306,232813673,1400853,8,4,5794279424,8823816192,66.3,500068036608,15324188672,9499197440,61.7,4257742848,1110966272,79.3,1
599,112854.28,79.0,26335,748611,232898985,1391338,8,4,5806804992,8803643392,66.2,500068036608,15324188672,9500147712,61.7,4257742848,1110966272,79.3,1
599,112856.30,72.2,15770,750485,232974613,1389836,8,4,5757362176,8814841856,66.5,500068036608,15324188672,9493336064,61.7,4257742848,1110966272,79.3,1
601,112858.33,80.1,17683,752010,233030534,1386814,8,4,5752823808,8822587392,66.5,500068036608,15324188672,9492586496,61.7,4257742848,1110966272,79.3,1
600,112860.36,91.9,20780,750855,233092967,1379480,8,4,5735464960,8791068672,66.6,500068036608,15324188672,9492205568,61.8,4257742848,1110966272,79.3,1
604,112862.38,85.2,76058,749293,233202935,1312486,8,4,5687476224,8743809024,66.9,500068036608,15324188672,9480798208,61.8,4257742848,1110966272,79.3,1
605,112864.41,73.1,28824,749499,233246087,1358547,8,4,5682671616,8723554304,66.9,500068036608,15324188672,9480273920,61.8,4257742848,1110966272,79.3,1
606,112866.43,85.8,58899,749876,233285469,1315670,8,4,5630238720,8681623552,67.2,500068036608,15324188672,9479995392,61.8,4257742848,1110966272,79.3,1
606,112868.46,85.7,77429,748919,233327255,1289170,8,4,5597675520,8649609216,67.4,500068036608,15324188672,9479987200,61.8,4257742848,1110966272,79.3,1
606,112870.49,96.3,75412,754430,233360984,1281883,8,4,5559480320,8635289600,67.6,500068036608,15324188672,9479413760,61.8,4257742848,1110966272,79.3,1
607,112872.51,99.3,31235,773237,233416827,1314608,8,4,5512572928,8666554368,67.9,500068036608,15324188672,9473748992,61.8,4257742848,1110966272,79.3,1
607,112874.54,94.8,29231,781298,233452971,1306867,8,4,5472653312,8661704704,68.1,500068036608,15324188672,9474592768,61.8,4257742848,1110966272,79.3,1
608,112876.57,98.6,61053,781765,233482332,1277536,8,4,5481947136,8656388096,68.1,500068036608,15324188672,9474211840,61.8,4258004992,1110704128,79.3,1
611,112878.60,99.1,72256,781522,233564450,1256528,8,4,5442695168,8623931392,68.3,500068036608,15324188672,9472905216,61.8,4267704320,1101004800,79.5,1
611,112880.63,98.7,50618,781502,233610535,1276000,8,4,5433827328,8622583808,68.4,500068036608,15324188672,9472724992,61.8,4285792256,1082916864,79.8,1
